Column1,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,44142.40486,photo,Studying,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,44202.80069,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,44364.51528,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,44304.21736,photo,Studying,negative,15
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,44137.26944,photo,Studying,negative,15
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,44077.78542,photo,Studying,negative,15
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44223.35556,photo,Studying,negative,5
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44111.77708,photo,Studying,negative,5
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44066.51736,photo,Studying,positive,30
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44136.05278,photo,Studying,positive,30
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,44142.35833,photo,Studying,neutral,20
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,44172.26875,photo,Studying,neutral,35
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,44287.95417,photo,Studying,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,44047.21181,photo,Studying,positive,65
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,44297.73264,photo,Studying,positive,70
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,44251.21458,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,44097.26667,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,44251.48403,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44338.82222,photo,Studying,positive,30
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,44227.66875,photo,Studying,positive,45
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,44155.72639,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,44297.86597,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,44360.69861,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,44297.60347,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,44257.80625,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44009.78056,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44325.87847,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,44047.99861,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,44071.16458,photo,Studying,positive,75
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,44068.34792,photo,Studying,positive,45
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,44306.99167,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44262.52778,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,44340.13958,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,44220.46042,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,44295.11528,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,44229.15486,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44231.12917,photo,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,44144.11736,photo,Studying,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,44103.66667,photo,Studying,negative,15
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,44164.89792,photo,Studying,negative,10
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,44240.32917,photo,Studying,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44026.22778,photo,Studying,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,44066.4375,photo,Studying,neutral,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,44326.39375,photo,Studying,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44270.16597,photo,Studying,negative,5
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,44007.70903,photo,healthy eating,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,44087.00764,photo,healthy eating,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,44063.76181,photo,healthy eating,neutral,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,44238.20347,photo,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,44263.44444,photo,healthy eating,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,44283.88542,photo,healthy eating,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,44341.04167,photo,healthy eating,negative,5
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,44270.51181,photo,healthy eating,positive,50
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,44321.68472,photo,healthy eating,positive,65
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,44074.01458,photo,healthy eating,positive,65
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,44363.12639,photo,healthy eating,positive,60
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,44019.45278,photo,healthy eating,neutral,20
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,44063.33264,photo,healthy eating,neutral,35
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,44097.46875,photo,healthy eating,positive,65
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,44279.24722,photo,healthy eating,positive,50
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,44172.80069,photo,healthy eating,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,44046.69514,photo,healthy eating,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,44206.65,photo,healthy eating,positive,72
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,44094.36667,photo,healthy eating,negative,15
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,44032.5875,photo,healthy eating,positive,70
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,44128.51042,photo,healthy eating,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,44353.06042,photo,healthy eating,positive,30
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,44190.00625,photo,healthy eating,positive,60
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,44361.33056,photo,healthy eating,positive,50
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,44352.75,photo,healthy eating,positive,50
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,44153.98403,photo,healthy eating,negative,5
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,44325.1125,photo,healthy eating,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,44327.35972,photo,healthy eating,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,44147.33333,photo,healthy eating,neutral,35
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,44003.70625,photo,healthy eating,positive,60
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,44259.99861,photo,healthy eating,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,44021.69931,photo,healthy eating,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,44044.80278,photo,healthy eating,negative,5
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,44158.94861,photo,healthy eating,negative,10
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,44176.58889,photo,healthy eating,negative,15
